JOURNAL NAME;AREA
Journal of Hospice & Palliative Nursing ; health
Leukemia ; medical
International Journal of Circuit Theory and Applications ; eecs
Romance Quarterly ; humanities
Microfluidics and Nanofluidics ; engineering
Fixed Point Theory and Applications ; mathphysics
Journal of Communication ; social
Anales Espanoles De Pediatria ; medical
Zeitschrift Fur Entwicklungspsychologie Und Padagogische Psychologie ; social
Langages ; humanities
Automation in Construction ; social
Pesticide Outlook ; bio
Evolutionary Computation ; eecs
Helgoland Marine Research ; bio
Pharmacogenomics Journal ; health
Journal of Clinical Psychology ; health
Target-international Journal of Translation Studies ; humanities
Annals of Nuclear Medicine ; medical
Cardiovascular Revascularization Medicine ; medical
Fordham Law Review ; social
Contact Lens and Anterior Eye ; health
Neuroreport ; brain
Asian-pacific Economic Literature ; social
International Journal of Mechanics and Materials in Design ; engineering
Pharmacogenetics ; health
Microbial Drug Resistance ; diseases
Actas Espanolas De Psiquiatria ; brain
Human Immunology ; diseases
Philosophy and Literature ; humanities
The International Journal of Neuropsychopharmacology ; brain
International Journal on Minority and Group Rights ; social
International Journal of Immunogenetics ; diseases
Esq-a Journal of The American Renaissance ; humanities
Philosophy, Ethics, and Humanities in Medicine ; health
American Surgeon ; medical
Journal of Service Management ; social
Mathematica Slovaca ; mathphysics
ChemPhysChem ; chem
Journal of Personality Assessment ; health
Engineering ; engineering
Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture ; engineering
Australian Journal of Physics ; mathphysics
Journal of Real Estate Research ; social
Pathology & Oncology Research ; medical
Linguistic Inquiry ; humanities
Radiation Medicine ; medical
Revue d'Histoire de la Pharmacie ; medical
Zbornik Instituta Za Pedagoska Istrazivanja ; social
International Journal of Architectural Heritage ; engineering
Physics Education ; social
Waterbirds ; bio
Journal of Intelligent and Fuzzy Systems ; eecs
Computational Mathematics and Modeling ; mathphysics
Psycho-oncology ; social
International Journal for the Psychology of Religion ; social
Kerntechnik ; engineering
Stp Pharma Sciences ; chem
Revista Brasileira De Oftalmologia ; medical
Journal of Immune Based Therapies and Vaccines ; brain
International Journal of Neuroscience ; brain
Journal of Electronic Resources in Medical Libraries ; eecs
Journal of Electronic Materials ; eecs
Records Management Journal ; social
Quarterly Journal of Austrian Economics ; social
Recent Patents on Dna & Gene Sequences ; medical
Acarologia ; bio
Cvd Prevention and Control ; medical
Interactive Surgery ; health
Health Policy and Planning ; diseases
Forensic Toxicology ; brain
Icon-international Journal of Constitutional Law ; social
Cochlear Implants International ; health
Fottea ; bio
Technical Physics Letters ; mathphysics
International Journal of Refractory Metals & Hard Materials ; engineering
Adverse Drug Reactions and Toxicological Reviews ; medical
Milton Quarterly ; humanities
Biometrika ; social
Leisure Studies ; social
Revista Brasileira De Cirurgia Cardiovascular ; medical
East Asia ; social
AACN Advanced Critical Care ; medical
Palaeogeography, Palaeoclimatology, Palaeoecology ; earth
Viral Immunology ; diseases
Bioorganic Chemistry ; biotech
Nursing and Health Care Perspectives ; health
Social Choice and Welfare ; social
Qirt Journal ; eecs
Journal of Performance of Constructed Facilities ; engineering
Mobile Networks and Applications ; eecs
Journal of Progressive Human Services ; social
Journal of Labor Research ; social
International Journal of Pavement Engineering ; engineering
NANO ; chem
Africa ; social
Acta Physica Slovaca ; mathphysics
Journal of Electronic Commerce in Organizations ; social
Ecohydrology ; earth
Brain Behavior and Immunity ; brain
Photogrammetrie Fernerkundung Geoinformation ; eecs
Environmental Health and Preventive Medicine ; health
Infectious Agents and Cancer ; medical
Studies in American Political Development ; social
Clinical Gastroenterology and Hepatology ; medical
Pathologica ; medical
Educational Technology & Society ; social
Oral Health & Preventive Dentistry ; health
Journal of Forestry ; bio
Glass Physics and Chemistry ; engineering
Zootaxa ; bio
Calphad-computer Coupling of Phase Diagrams and Thermochemistry ; engineering
Contemporary Topics in Laboratory Animal Science ; diseases
Disease Models & Mechanisms ; diseases
American Journal of Applied Sciences ; engineering
Chemical Engineering Progress ; chem
Particle and Fibre Toxicology ; medical
Pathologie Biologie ; diseases
Transactions of The American Philosophical Society ; humanities
Health Care for Women International ; health
Psychophysiology ; brain
Enterprise Information Systems ; social
American Journal of Psychology ; brain
Evaluation & the Health Professions ; social
Journal of Critical Care ; medical
Drug Discovery Today: Biosilico ; biotech
Pharmaceutical Statistics ; social
Archives of Civil and Mechanical Engineering ; engineering
Journal of Sociolinguistics ; social
Literary Imagination ; humanities
Clinical and Investigative Medicine ; health
European Journal of Echocardiography ; medical
Journal of Teaching in Travel & Tourism ; social
Annual Review of Cell and Developmental Biology ; diseases
Journal of Ecology ; bio
Neurobiology of Disease ; brain
Solid State Communications ; mathphysics
Annales D Urologie ; medical
Quarterly Journal of Speech ; humanities
Phonetica ; brain
British Poultry Science ; diseases
Extremophiles ; biotech
International Journal of Plasticity ; engineering
Biochemical Genetics ; bio
Nephron Physiology ; medical
Simulation Practice and Theory ; eecs
Digital Investigation ; eecs
Journal of Chemical & Engineering Data ; engineering
Journal of Ultrasound ; brain
Journal of Dermatological Treatment ; medical
Musculoskeletal Care ; medical
Amfiteatru Economic ; social
Archives of Psychiatric Nursing ; health
Journal of Clinical Apheresis ; medical
American Review of Canadian Studies ; social
Health ; social
Philosophical Magazine B-physics of Condensed Matter Statistical Mechanics Electronic Optical and Magnetic Properties ; mathphysics
World Archaeology ; earth
Molecular and Cellular Endocrinology ; medical
ACS Applied Materials & Interfaces ; chem
Boundary-Layer Meteorology ; bio
Revista De La Union Matematica Argentina ; mathphysics
Journal of Bioenergetics and Biomembranes ; diseases
Radiation Measurements ; mathphysics
Hypertension in Pregnancy ; medical
Journal of Non-crystalline Solids ; engineering
European Journal of Developmental Psychology ; social
Journal of Algebraic Combinatorics ; mathphysics
Journal of The International Society of Sports Nutrition ; health
Quaderni D Italianistica ; humanities
Cambridge Classical Journal ; humanities
International Journal of Computational Fluid Dynamics ; engineering
Wasafiri ; humanities
The American Sociologist ; social
Nurse Educator ; health
British Journal of Industrial Relations ; social
Psychologie & Gezondheid ; health
Journal of Chinese Linguistics ; humanities
History of Education Quarterly ; social
Optimization ; mathphysics
Inhalation Toxicology ; medical
International Journal of Cosmetic Science ; medical
Australian Archaeology ; earth
Reference Services Review ; eecs
Art Journal ; humanities
Vascular and Endovascular Surgery ; medical
Reliable Computing ; mathphysics
Plant Biotechnology ; bio
Macedonian Journal of Chemistry and Chemical Engineering ; chem
Journal of Industry, Competition and Trade ; social
Journal of Management & Governance ; social
Seizieme Siecle ; humanities
The Cryosphere Discussions ; earth
African Journal of Ecology ; bio
Congestive Heart Failure ; medical
New Economy ; social
Expert Review of Dermatology ; medical
Substance Use & Misuse ; health
German Studies Review ; humanities
International Journal of Emergency Management ; health
Journal of Computer and Systems Sciences International ; mathphysics
Journal of Regional Science ; social
Journal of The Japanese Physical Therapy Association ; brain
Bioanalysis ; brain
Journal of Agricultural and Resource Economics ; social
International Journal of Botany ; bio
Studia Geophysica Et Geodaetica ; earth
Visual Cognition ; brain
Iranica Antiqua ; earth
Developmental Review ; social
Cahiers Agricultures ; bio
Research in Dance Education ; health
Expert Review of Anticancer Therapy ; medical
Electric Power Components and Systems ; eecs
Emc - Psychiatrie ; health
Child Welfare ; social
The Reference Librarian ; eecs
European Journal of Pharmacology ; medical
Current Opinion in Endocrinology & Diabetes ; medical
Journal of Metastable and Nanocrystalline Materials ; engineering
Journal of Hazardous Materials ; engineering
Bioconjugate Chemistry ; chem
Swarm Intelligence ; eecs
Biology Direct ; diseases
Transportation Research Part E-logistics and Transportation Review ; social
British Journal of Canadian Studies ; social
Revista Internacional De Acupuntura ; health
Journal of Raptor Research ; bio
SIAM Journal on Matrix Analysis and Applications ; mathphysics
Virchows Archiv ; medical
Journal of Economic Interaction and Coordination ; social
World Journal of Surgical Oncology ; medical
Advances in Skin & Wound Care ; health
Journal of Black Psychology ; social
Journal of Aging and Physical Activity ; brain
International Journal of Eating Disorders ; social
Industrial Law Journal ; social
Advances in Imaging and Electron Physics ; diseases
European Biophysics Journal ; diseases
Transportation Science ; engineering
Journal of Transcultural Nursing ; health
Vascular ; medical
Computers in Nursing ; health
Pacific Philosophical Quarterly ; humanities
Mechanika ; engineering
Transfusion Medicine and Hemotherapy ; medical
European Surgery-acta Chirurgica Austriaca ; medical
Library ; humanities
Multiscale Modeling & Simulation ; mathphysics
Nursing Research ; social
Nuclear Engineering and Design ; engineering
Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery ; medical
Oral Oncology ; health
Expert Opinion on Biological Therapy ; diseases
Brain Research Bulletin ; brain
Aleph-historical Studies in Science & Judaism ; humanities
Iee Proceedings-vision Image and Signal Processing ; eecs
World Journal of Surgery ; medical
Aesthetic Surgery Journal ; health
Revista De Dialectologia Y Tradiciones Populares ; humanities
Journal of Laboratory and Clinical Medicine ; medical
BMC Genomics ; biotech
Journal of Social Behavior and Personality ; social
Journal of Soil and Water Conservation ; engineering
Asian Journal of Biological Sciences ; bio
Pacific Economic Bulletin ; social
Journal of Endocrinology ; medical
Communications in Analysis and Geometry ; mathphysics
Journal of Environmental Informatics ; social
Materials Science in Semiconductor Processing ; eecs
Climate of The Past ; earth
Zeitschrift Fur Sozialpsychologie ; social
BMC Endocrine Disorders ; medical
Journal of Women's Imaging ; brain
Speculum ; humanities
Scandinavian Journal of Work, Environment & Health ; health
Research Papers in Education ; social
Journal of Spatial Science ; earth
Mitochondrial DNA ; bio
Palaeontology ; earth
Theoretical Medicine and Bioethics ; health
Forum for Modern Language Studies ; social
Men and Masculinities ; social
Journal of Fixed Point Theory and Applications ; mathphysics
Australian and New Zealand Journal of Public Health ; health
Advances in Electrical and Computer Engineering ; eecs
Artificial Intelligence and Law ; eecs
Journal of Fish Biology ; bio
Journal of Purchasing and Supply Management ; social
Journal of Vascular Nursing ; medical
Veterinary Surgery ; diseases
Reading & Writing Quarterly ; social
Reviews in Mathematical Physics ; mathphysics
Journal of Chemometrics ; chem
Journal of Applied Fire Science ; engineering
Food Research International ; chem
Journal of The Meteorological Society of Japan ; earth
Architectural Science Review ; social
Annals of The Icrp ; medical
Crop Protection ; bio
Indian Journal of Animal Research ; diseases
Tropical Doctor ; diseases
International History Review ; social
Journal of Fluids Engineering-transactions of The Asme ; engineering
Asymptotic Analysis ; mathphysics
Ethical Human Psychology and Psychiatry ; brain
American Journal of Surgery ; medical
Anatomy and Embryology ; medical
Enfance ; social
Journal of Empirical Research on Human Research Ethics ; health
Gastroenterology Clinics of North America ; medical
Targeted Oncology ; medical
Applied Bioinformatics ; biotech
Journal of Studies in International Education ; social
Industrial & Engineering Chemistry Research ; interdiscipline
Brain Research Protocols ; brain
Occupational Therapy in Health Care ; brain
Review of Derivatives Research ; social
Virology Journal ; diseases
Journal of Immigrant Health ; health
African Diaspora ; social
Age ; health
Journal of Pediatric Health Care ; health
Instruments and Experimental Techniques ; mathphysics
Small Enterprise Development ; social
Bulletin of Latin American Research ; social
Statistica Neerlandica ; social
Financial Analysts Journal ; social
ACM Transactions on Speech and Language Processing ; eecs
Communications in Partial Differential Equations ; mathphysics
Journal of Experimental Zoology ; bio
Journal of Agronomy ; bio
Journal of Applied Physiology ; health
International Journal of Automotive Technology ; engineering
European Journal of Clinical Pharmacology ; health
Journal of Economic Methodology ; social
Mini-reviews in Organic Chemistry ; chem
Faraday Discussions ; chem
Reproductive Sciences ; medical
Future Generation Computer Systems ; eecs
Grundwasser ; earth
Gospodarka Surowcami Mineralnymi-mineral Resources Management ; engineering
Statistics & Probability Letters ; social
Journal of Shoulder and Elbow Surgery ; health
Bone ; medical
International Journal of General Systems ; eecs
Perspectives-studies in Translatology ; social
Gender & Development ; social
Journal of Computer-aided Materials Design ; engineering
Functional Ecology ; bio
Mechanism and Machine Theory ; engineering
Music Analysis ; humanities
Journal of Mechanics in Medicine and Biology ; health
Journal of Pediatric and Adolescent Gynecology ; diseases
Journal of Behavioral Education ; social
Seminars in Nephrology ; medical
International Journal of Health Care Quality Assurance ; health
Irrigation and Drainage Systems ; engineering
Revista Lusofona De Educacao ; social
Best Practice & Research in Clinical Gastroenterology ; medical
Mine Water and The Environment ; engineering
Ultrasonic Imaging ; eecs
Journal of Chromatographic Science ; chem
Strahlentherapie Und Onkologie ; medical
Alternative Medicine Review ; health
Journal of Nondestructive Evaluation ; eecs
Language and Education ; social
Journal of Molecular Recognition ; biotech
Palliative & Supportive Care ; health
Sociologie Du Travail ; social
Palestine Exploration Quarterly ; earth
History of Religions ; social
Drug and Alcohol Dependence ; health
International Journal of Sports Science & Coaching ; health
Journal of Occupational Medicine and Toxicology ; health
Skin Pharmacology and Physiology ; medical
Nature Communications ; bio
Equine Veterinary Journal ; diseases
Annales médico-psychologiques ; brain
Significance ; social
Invertebrate Reproduction & Development ; bio
Clays and Clay Minerals ; earth
The Journal of Comparative Neurology ; brain
Annals of Biomedical Engineering ; health
Nineteenth-century French Studies ; humanities
Singapore Medical Journal ; health
Psihologija ; social
Journal of Traumatic Stress ; social
Assistive Technology ; eecs
Nexus Network Journal ; earth
International Journal of Cardiovascular Imaging ; medical
Revista Facultad De Ingenieria-universidad De Antioquia ; eecs
Journal of Craniofacial Surgery ; health
Dialectical Anthropology ; social
International Journal of Mechanical Sciences ; engineering
Lithuanian Mathematical Journal ; mathphysics
Gruppendynamik Und Organisationsberatung ; social
Journal of Human Behavior in The Social Environment ; social
Applied Financial Economics ; social
Best Practice & Research Clinical Anaesthesiology ; medical
English for Specific Purposes ; social
Sprachwissenschaft ; humanities
Invertebrate Biology ; bio
Comparative Economic Studies ; social
Zoology in The Middle East ; bio
Hispanic Journal of Behavioral Sciences ; social
Computers and Composition ; social
African Journal of Herpetology ; bio
Orthopaedics & Traumatology-surgery & Research ; health
Journal of Pharmaceutical and Biomedical Analysis ; chem
Journal of Symbolic Logic ; eecs
Journal of Mathematics and Music ; social
Journal of Pediatric Hematology Oncology ; diseases
Optics Express ; eecs
Aerobiologia ; bio
Mbio ; diseases
Ethiopian Medical Journal ; bio
Journal of Family Issues ; social
Radiography ; health
Clinical Neurology and Neurosurgery ; brain
Advances in Biochemical Engineering \/ Biotechnology ; bio
Journal of the Neurological Sciences ; brain
Archives Europeennes De Sociologie ; social
Journal of Mountain Science ; engineering
Journal of Computer Science ; eecs
Expert Opinion on Drug Safety ; brain
Radioengineering ; eecs
Race Ethnicity and Education ; social
Biochemistry and Cell Biology ; medical
Geometric and Functional Analysis ; mathphysics
Journal of Health Communication ; health
Contemporary Economic Policy ; social
Mycological Progress ; bio
Journal of Dairy Research ; biotech
Journal of Fire Sciences ; engineering
Indian Journal of Pediatrics ; medical
Behavioral Sciences & The Law ; brain
American Journal of Orthopsychiatry ; social
The American Review of Public Administration ; social
Revue Historique ; humanities
Fetal and Maternal Medicine Review ; medical
Professional Psychology: Research and Practice ; health
Business Economics ; social
Mathematical Finance ; mathphysics
Archives of Microbiology ; diseases
Irish Geography ; social
Plastics, Additives and Compounding ; chem
Annual Review of Entomology ; bio
Breastfeeding Medicine ; medical
Journal of Pediatric Psychology ; brain
Smpte Motion Imaging Journal ; eecs
European Neurology ; brain
Journal of the History of Ideas ; humanities
Cellular Signalling ; medical
X-Ray Spectrometry ; chem
International Finance ; social
Athletic Therapy Today ; health
IEEE Industry Applications Magazine ; eecs
Journal of Career Development ; social
Journal of Health Politics Policy and Law ; health
Medical Physics ; medical
International Journal of Stress Management ; social
European Physical Journal E ; chem
Chinese Journal of Catalysis ; chem
Palliative Medicine ; health
International Journal of Learning and Intellectual Capital ; social
Zuckerindustrie ; bio
Journal of Catalysis ; chem
Chemical and Petroleum Engineering ; engineering
Current Cancer Drug Targets ; medical
Journal of Health Services Research & Policy ; health
Marine Drugs ; chem
German Life and Letters ; humanities
Journal of Investigative Medicine ; medical
Chinese Journal of Physics ; mathphysics
Forschende Komplementarmedizin Und Klassische Naturheilkunde ; health
Journal of Neuroscience Research ; brain
Journal of Difference Equations and Applications ; mathphysics
European Journal of Nutrition ; health
Baltic Forestry ; bio
Media Psychology ; social
Revista Espanola De Pedagogia ; social
Journal of Pediatric Nursing ; health
International Journal of Paediatric Dentistry ; health
Behavioral Neuroscience ; brain
Research in Higher Education ; social
Macromolecular Theory and Simulations ; chem
Current Medicinal Chemistry - Anti-infective Agents ; medical
International Journal of Qualitative Studies on Health and Well-being ; health
Hydrobiologia ; interdiscipline
The Journal of Primary Prevention ; health
Social Analysis ; social
Chaos Solitons & Fractals ; mathphysics
Journal of Chromatography B: Biomedical Sciences and Applications ; chem
Pure and Applied Chemistry ; chem
Journal of Medicinal Food ; chem
Journal of Otolaryngology ; brain
Mathematics and Computers in Simulation ; mathphysics
Multibody System Dynamics ; engineering
Water Quality Research Journal of Canada ; engineering
American Educational Research Journal ; social
Advances in Parasitology ; bio
Seminars in Speech and Language ; brain
International Journal of Infrared and Millimeter Waves ; eecs
South African Journal of Psychology ; social
Journal of Biological Inorganic Chemistry ; chem
Journal of Herpetology ; bio
Russian Journal of Developmental Biology ; diseases
Computational Mathematics and Mathematical Physics ; mathphysics
Plains Anthropologist ; earth
Journal of International Food & Agribusiness Marketing ; biotech
Brazilian Journal of Physics ; mathphysics
Journal of School Choice ; social
Synthesis Lectures on Mobile and Pervasive Computing ; eecs
Journal of The Royal Statistical Society Series C-applied Statistics ; social
Japanese Journal of Applied Entomology and Zoology ; bio
Annual Review of Applied Linguistics ; social
Journal of Research in Science Teaching ; social
Advances in Health Sciences Education ; health
IEEE Communications Surveys and Tutorials ; eecs
High Pressure Research ; mathphysics
Proteomics ; biotech
Asia-pacific Psychiatry ; health
European Journal of Clinical Microbiology & Infectious Diseases ; diseases
Surface Engineering ; mathphysics
Electronic Research Announcements in Mathematical Sciences ; mathphysics
Journal of Human Resources ; social
Acta Entomologica Musei Nationalis Pragae ; bio
World Review of Intermodal Transportation Research ; social
Neurophysiology ; brain
Gps Solutions ; engineering
Biology of Sport ; health
Journal of Applied Biobehavioral Research ; social
Journal of Neuro-oncology ; brain
Strength of Materials ; engineering
Journal of Pragmatics ; social
Nervenheilkunde ; brain
Journal of Apicultural Research ; bio
Aids Patient Care and Stds ; medical
Acta Zoologica Bulgarica ; bio
Frontiers of Computer Science in China ; eecs
Earthquake Engineering and Engineering Vibration ; engineering
Journal of Neuropsychology ; brain
Chaos ; mathphysics
Journal for Eighteenth-century Studies ; humanities
Behavioral & Social Sciences Librarian ; eecs
Population Health Management ; health
Journal of Adhesion ; chem
Geobiology ; mathphysics
Journal of Clinical Densitometry ; medical
Ieej Transactions on Electronics, Information and Systems ; mathphysics
Clean-soil Air Water ; engineering
Dental Clinics of North America ; health
Policy Sciences ; social
Journal of Biomedical Materials Research Part A ; health
Journal of The National Cancer Institute Monographs ; medical
Australian Entomologist ; bio
Evidence-based Gastroenterology ; medical
Progress in Reaction Kinetics and Mechanism ; health
Journal of Behavioral Finance ; social
Journal of Employment Counseling ; social
Journal of Microcolumn Separations ; chem
Yale Journal of Criticism ; humanities
Journal of Mineralogical and Petrological Sciences ; earth
International Congress Series ; eecs
Sumarski List ; bio
Current Medicinal Chemistry - Central Nervous System Agents ; brain
Surveys in High Energy Physics ; mathphysics
Zeitschrift Fur Jagdwissenschaft ; bio
South African Journal for Research in Sport Physical Education and Recreation ; health
IEEE Transactions on Robotics and Automation ; eecs
Magnetic Resonance Imaging ; brain
Odonatologica ; social
Text and Performance Quarterly ; humanities
Geochemistry-exploration Environment Analysis ; earth
Journal of Biochemical and Molecular Toxicology ; health
Heart Surgery Forum ; medical
Ashrae Journal ; engineering
Meat Science ; biotech
Plant and Cell Physiology ; bio
Manuelle Medizin ; health
International Archives of Allergy and Immunology ; medical
Journal of Developmental and Physical Disabilities ; social
Journal of Microscopy ; diseases
Hidrobiologica ; bio
International Journal of Enterprise Information Systems ; social
Progress in Nucleic Acid Research and Molecular Biology ; diseases
Journal of the American Mathematical Society ; mathphysics
Annals of Statistics ; social
Biorheology ; health
Canadian Journal of Mathematics ; mathphysics
Critical Inquiry ; humanities
American Journal of Mathematics ; mathphysics
Indian Journal of Physics ; mathphysics
Alcohol ; brain
Molecular and Biochemical Parasitology ; bio
Journal of Shanghai Jiaotong University (science) ; eecs
International Journal of Inclusive Education ; social
Revista Brasileira De Fisioterapia ; health
Journal of Clinical Lipidology ; medical
Lasers in Medical Science ; health
Journal of Forensic Psychiatry ; brain
International Studies in Sociology of Education ; social
Current Osteoporosis Reports ; medical
Landscape Ecology ; bio
Iet Control Theory and Applications ; eecs
Resources Conservation and Recycling ; engineering
Journal of Nutrition ; health
Journal of Conflict Archaeology ; earth
The International Journal of Press/Politics ; social
Journal of Cardiothoracic Surgery ; medical
Stratigraphy ; earth
International Journal of Sustainable Energy ; engineering
International Journal of Adhesion and Adhesives ; chem
Clinical Therapeutics ; medical
Acta Astronomica ; mathphysics
New Theatre Quarterly ; humanities
Medecine Et Hygiene ; medical
Journal of Natural Products ; chem
Journal of Marital and Family Therapy ; social
Practical Neurology ; brain
Current Treatment Options in Gastroenterology ; medical
Laboratory Animals ; diseases
International Journal of Environmental Science and Technology ; bio
American Journal of Philology ; humanities
Praxis Der Kinderpsychologie Und Kinderpsychiatrie ; brain
Entomological Review ; bio
European Journal of Gynaecological Oncology ; medical
International Journal of Digital Earth ; earth
Lexikos ; social
Agricultural and Food Science ; chem
Journal of Modern African Studies ; social
Soil Use and Management ; engineering
Ionics ; engineering
Histopathology ; medical
Journal of Marine Science and Technology ; engineering
Doklady Biochemistry and Biophysics ; brain
Cellular Immunology ; diseases
Solid State Sciences ; chem
Theatre Survey ; humanities
Topics in Early Childhood Special Education ; social
Journal of Stored Products Research ; bio
Eurasian Geography and Economics ; social
American Antiquity ; earth
Revista Brasileira De Enfermagem ; health
Acta Societatis Botanicorum Poloniae ; bio
European Political Science ; social
Journal of Political Economy ; social
Physica Scripta ; mathphysics
Bulletin of Entomological Research ; bio
Fuel Processing Technology ; engineering
Australasian Journal of Educational Technology ; social
International Journal of Rock Mechanics and Mining Sciences ; engineering
Journal of Nonverbal Behavior ; social
Autism ; social
Measurement Science Review ; eecs
Journal of Hunger & Environmental Nutrition ; medical
Toxicology in Vitro ; health
Journal of Nutritional Biochemistry ; health
Annual Review of Pharmacology and Toxicology ; health
Group Analysis ; health
Journal of Materials Science & Technology ; engineering
Chemsuschem ; chem
Journal of Baltic Science Education ; social
Acta Theriologica ; bio
Journal of Communist Studies and Transition Politics ; social
Channels ; diseases
Food Microbiology ; biotech
Learning Environments Research ; social
Journal of Oceanography ; earth
Water, Air, & Soil Pollution: Focus ; earth
Microscopy and Microanalysis ; diseases
Bangladesh Medical Research Council Bulletin ; medical
Journal of Psychosocial Oncology ; social
Recent Patents on Anti-infective Drug Discovery ; diseases
Modern Asian Studies ; humanities
Teaching in Higher Education ; social
International Journal of Computer-supported Collaborative Learning ; social
Synthesis Lectures on Signal Processing ; eecs
Gastroenterology ; medical
Journal of Immunoassay ; medical
Traffic Injury Prevention ; engineering
Journal of Rare Earths ; engineering
Romance Studies ; humanities
Translational Research ; medical
Neuromodulation ; brain
Canadian Journal of Microbiology ; diseases
Canadian Journal of Neurological Sciences ; brain
Natural Hazards and Earth System Science ; earth
Chinese Journal of Geochemistry ; earth
Journal of Modern Dynamics ; mathphysics
Work And Occupations ; social
Nagoya Mathematical Journal ; mathphysics
Cold War History ; humanities
Nutrition and Health ; health
Notarzt ; health
Journal of Phenomenological Psychology ; social
Complexus ; diseases
Experimental Parasitology ; bio
Acta Protozoologica ; bio
Indian Journal of Agricultural Sciences ; bio
Toxicological Sciences ; medical
Journal of Sea Research ; bio
Demokratizatsiya ; social
Contributions To Nephrology ; medical
Genetics and Molecular Biology ; bio
Journal of The British Society for Phenomenology ; humanities
Studies in History ; humanities
International Journal of Transport Economics ; social
American Midland Naturalist ; bio
American Journal of Men's Health ; medical
Animal Behaviour ; bio
European Psychiatry ; brain
Progress in Particle and Nuclear Physics ; mathphysics
Top ; mathphysics
Journal of Maps ; earth
Measurement Techniques ; eecs
Homme ; humanities
Schizophrenia Bulletin ; brain
Oceanus ; engineering
Soft Matter ; chem
Glycoconjugate Journal ; chem
Endocrine Reviews ; medical
American Annals of the Deaf ; social
Journal of Research in Crime and Delinquency ; social
Journal of Small Business Management ; social
Journal of Planning Education and Research ; social
Statistica ; social
International Journal of Mathematics and Mathematical Sciences ; mathphysics
Advances in Complex Systems ; mathphysics
Gene Expression ; biotech
Italian Journal of Zoology ; bio
Imaging ; brain
Population Bulletin ; social
Reproductive Toxicology ; medical
Human Studies ; social
Mechanics of Composite Materials ; engineering
Current Opinion in Infectious Diseases ; medical
Advances in Marine Biology ; bio
American Journal of Public Health ; health
Journal of NeuroVirology ; diseases
Acta Physiologiae Plantarum ; bio
Language Learning & Technology ; social
Virologica Sinica ; diseases
European Journal of Cognitive Psychology ; brain
Journal of Wood Science ; engineering
Asian Philosophy ; humanities
Biophysics ; health
Cardiovascular Radiation Medicine ; medical
Zeitschrift Fur Anglistik Und Amerikanistik ; humanities
Behavioural Brain Research ; brain
Scanning ; diseases
Journal of the American Musicological Society ; humanities
Revista Latinoamericana De Psicologia ; social
Journal of Balkan and Near Eastern Studies ; social
Journal of Physiological Anthropology and Applied Human Science ; health
Asian Perspective ; earth
Optical and Quantum Electronics ; eecs
Games and Economic Behavior ; social
Nature Reviews Clinical Oncology ; medical
Ecotoxicology ; bio
Administration in Social Work ; social
Africa Development ; social
Environmental Geosciences ; bio
Science Translational Medicine ; diseases
Ajs Review-the Journal of The Association for Jewish Studies ; humanities
Education and Urban Society ; social
Korea-australia Rheology Journal ; chem
Theoria-revista De Teoria Historia Y Fundamentos De La Ciencia ; humanities
Industrial Relations ; social
Senckenbergiana Lethaea ; earth
Opera Quarterly ; humanities
Wood Science and Technology ; engineering
International Journal of Damage Mechanics ; engineering
Intelligent Automation and Soft Computing ; eecs
Trans-form-acao ; humanities
Evolutionary Ecology ; bio
Journal of Computational Biology ; biotech
Journal of Geography in Higher Education ; social
International Journal of Applied Ceramic Technology ; engineering
American Journal of Education ; social
Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering ; engineering
Analytical Methods ; health
American Journal of Immunology ; diseases
Journal of Political Marketing ; social
Physiological Entomology ; bio
Acta Geologica Polonica ; earth
Journal of Exercise Science & Fitness ; health
Pakistan Journal of Zoology ; bio
Developmental Dynamics ; medical
Journal of Electromagnetic Waves and Applications ; eecs
Thermal Science ; engineering
Journal of Occupational and Environmental Medicine ; health
Environmental Chemistry Letters ; earth
Immunologic Research ; diseases
Parkinsonism & Related Disorders ; brain
Public Policy and Administration ; social
Critical Reviews in Oncogenesis ; bio
Oncologie ; medical
Revista Espanola De Documentacion Cientifica ; social
Journal of Neurology ; brain
Journal of Land Use Science ; earth
Annals of Mathematics and Artificial Intelligence ; eecs
Econometrica ; social
Population Research and Policy Review ; social
American Journal of Food Technology ; chem
Journal of Family History ; humanities
Journal of Applied Oral Science ; health
Physica Status Solidi-rapid Research Letters ; mathphysics
Behavioral Disorders ; social
Cerebrovascular Diseases ; brain
Science in China Series D: Earth Sciences ; earth
IEEE Transactions on Medical Imaging ; eecs
Journal of Zoology ; bio
Journal of Applied Ichthyology ; bio
Clinical Diabetes ; medical
Common Knowledge ; social
European Journal of Psychiatry ; health
Ksce Journal of Civil Engineering ; social
Design Issues ; engineering
Acta Agriculturae Slovenica ; diseases
Genes, Chromosomes and Cancer ; diseases
Optical Engineering ; eecs
Acta Periodica Technologica ; biotech
Acta Ichthyologica Et Piscatoria ; bio
Health Care Analysis ; health
Dendrochronologia ; bio
Annales Des Sciences Naturelles-zoologie Et Biologie Animale ; bio
Clinics in Laboratory Medicine ; diseases
Cell Biology and Toxicology ; health
Biography ; humanities
Journal of Reconstructive Microsurgery ; health
Medicinal Chemistry ; chem
Critical Reviews in Microbiology ; diseases
